Identifier,Archive Location,Publication Year,ARCGIS_Year,Heb_year,Original_Cal_Type,Author,Title,English_Title,Press,Press Adress,Place,Longitude,Latitude,Accurate,Language_Code,Book_URL,Notes,Thumbnail_Name,Thumbnail_Wiki_URL,Thumbnail_ImageURL,Wiki_URL,WorldCat_Genre,WorldCat_Subject_Tags,WorldCat_Description,WorldCat_Notes,Reason_skipped_subjectTag,Date_Added,Data_Mod,Pages,Rights,MARC2_Tags,Translator,OCLC_Number,Provenance
208,JA 0378,1887,01/01/1887,,,"Falak, Shimon",[al-Tuwarikh al-Yisrailiya],Jewish History,Imprimerie Uzan & Castro,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1TcZGHf-SQVlQxmIDaDlqS8OTN6stxs0l,,,,,,,Jews; History,80 pages,"T.p. including imprint from: E. Vassel, La litt. popul. des Israe_lites tunisiens, p. 59. Judeo-Arabic. No more published.",,,,,,,,,
117,JA 0366,1909,1/1/09,,,,[Aseret ha-devarim] divre Elohim hayim ha-neemarim...ba-ir Tunis... : targum ve-Aravi laTorah,,Kastro & friends Press,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1bAE_QvtphyMCQaDfTwlw9D1FAKfQR8Ci,,,,,,,Judaism; Liturgy; Texts,16 leaves,Aramic and Judeo-Arabic.,,,,,,,,,
296,BL 0252,1890,01/01/1890,,,"Somerhausen, H.",[Hagadah le-lel shikorim] hagadah shel Purim... : nisdar ke-seder Hagadah shel Pesah,The Hagadah for Drunks: hagadah of Purim arranged in the manner of the Passover Hagadah,Jacob Guedj Press,Chemin de Ceinture de la Cit_-Bugeaud 2 Faubourg Bab el-Oued,Algiers,36.6997294,3.0576199,,jrb,https://drive.google.com/open?id=1D5-vtlXBW2QQf13vm6xiJNUrjiBk2w6n,"Y./Yaakov/ Ya'akov Giz/Gij/Gig/Guedj is rendered as _ ____ in Hebrew and, in the Algerian case, is transliterated in the original as Jacob Guedj with Bab el-oued address Faubourg etc. BUT there is also a Guedj Press in Tunis ",,,,,,Purim parodies,20 pages,"Author's name supplied from: I. Davidson, Parody in Jewish lit. p. 247. Hebrew and Judeo-Arabic.",,,,,,,,,
144,JL 0207-0219,1951,1/1/51,,,"Alfasi, Isaac ben Jacob",[Hilkhot] ha-Rif,,"Hadad, Idan, Kohen & Tsaban Press",,Djerba,33.8787981,10.850791,,jrb,,,,,,,,"Talmud; Pesah_im I-IV; Commentaries; Pesah_im X; Alfasi, Isaac ben Jacob; 1013-1103; Pesah_im; Perek_ 1-4; View all subjects",500 pages ; 25 cm,Title on added t.p.: Alfasi. Spine title: Hilkhot ha-Rif _al Masekhet Pesah_ rishon.,,,,,,,,,
250,PT 0234-0240,1914,1/1/14,,,"ibn, Pakuda Bahya ben Joseph",[Hovot ha-levavot] Faraid al-qulub...We-hu...Torat hovat ha-levavot,,David Aydan Press,,Djerba,33.8787981,10.850791,,jrb,,,,,,,,Jewish ethics,2 volumes in 1 (320 leaves),Judeo-Arabic.,,,,,,,,,
302,JA 0038-0039,1888,01/01/1888,,,"Tvena, Shelomoh",[Kohelet im sharh ha-Arvi ha-meduberet ben ha-am : ve-im perush Shema Shelomoh],,,,Jerusalem,31.768319,35.21371,,jrb,https://drive.google.com/open?id=1nm-wHG0dVJrqk1LaUsKHdf-KhWs2YsDj,,,,,,,Bible; Ecclesiastes; Commentaries,82 leaves ; 21 cm.,Title-page wanting. Text in Hebrew and Judeo-Arabic on opposite pages. Includes commentary in Hebrew with caption title: Shema\ Shelomoh.,,,,,,,,,
266,JA 0289-0290,1915,1/1/15,,,"Maimonides, Moses",[Mishneh Torah] emet ve-emunah ... : [beur le-shaare teshuvah be-lashon Arvit],,David Idan Press,,Djerba,33.8787981,10.850791,,jrb,https://drive.google.com/open?id=1CnBTLhi1QfmZcFBljg7iU6VEI3zDQ0YH,,,,,,,Jewish law,"[14], 58 leaves ; 18 cm",Hebrew or Judeo-Arabic.,,,,,,,,,
67,JA 0301-0305,,01/01/1800,,,,[Sidur],,,,Djerba,33.8787981,10.850791,,jrb,https://drive.google.com/drive/folders/1JvuydKlcj8ibEGhuDmKLOHsi51uplkO4,,,,,,,"Sofer, Shabsi; Siddur; Haggadah; View all subjects",4 volumes : facsimile ; 25 cm,Includes vocalized liturgy.,,,,,,,,,
269,JA 0230,,01/01/1800,,,"Mapu, Abraham",Ahavat Tsiyon (Yehonatan),,,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1RiUOdI1Jt7BasIbT8TxKb_rs_oAo9Z3R,,,,,,,Judeo-Arabic literature,52 pages ; 22 cm,Lacks t.p. Text in Judeo-Arabic.,,,,,,,,,
270,JA 0230,,01/01/1800,,,"Mapu, Abraham",Ahavat Tsiyon (Yehonatan),,,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1xl3yePx6qmEfCfma_s8MDfrs6oGuc3ci,,,,,,,Judeo-Arabic literature,52 pages ; 22 cm,Lacks t.p. Text in Judeo-Arabic.,,,,,,,,,
252,JA 0021,1889,01/01/1889,,,"Joseph, Elijah",Ajab al-ajab,,,,Bombay,19.0759837,72.8776559,,jrb,https://drive.google.com/open?id=1dO5B3TbL6aLkeCq7FMc7JLbp0gw_Y6d0,,,,,,,Decentralization in government; Sudan,53 pages ; 22 cm.,"""May 1990.""",Error with primary URL,,,,,,,,
293,JA 0423-0426,1886,01/01/1886,,,,Al-Amrikan u elgadara elladhi waqa'at fi dar fudam,,Uzan & Kastro Press,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/drive/folders/1GDezhPNjTctRvv-yzmZBO6TrMe8stKnF,,,,,,,,,,Error with primary URL,,,,,,,,
140,HI 0104,1899,01/01/1899,,,"(Egypt), Societ_ Israelitica di Beneficenza Alexandria",al-Jamiyah al-Khayriyah al-Israiliyah bi-Aleksandriyah,The Jewish Benevolence Society of Alexandria,publisher not identified,,Alexandria,31.2000924,29.9187387,,jrb,https://drive.google.com/open?id=1ZVAAZPpvpU7bie0GXSjGHtCPVvGy6GbV,,,,,,,Jews; Egypt,,Judeo-Arabic.,,,,,,,,,
263,JA 0066,1895,01/01/1895,,,"Maarek, Masud",al-Kasb al-mazrub,,,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1RdB2pg-QfDLyB7lxVoZsCDlftXd5RK9n,,,,,,,"Jewish legends; Folk literature, Judeo-Arabic",,,,,,,,,,,
174,JA 0069,,01/01/1800,,,"Bijaoui, Eliyahu",al-Kasb yaglub wa-al-maktubu yajlub,Profit Pulls and Fate Pushes,Uzan Father & Sons,40 Rue des maltais,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1gTEdeFMbHzn145CRF1K6ewQQ6H8xNhGP,,,,,,,,,,,,,,,,,,
218,JA 0369,1887,01/01/1887,,,"Flah, Shimon",Amthal wa-ibar,Proverbs and Idioms,Uzan & Kastro Press,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=16B3WIsCwXbKDWNiJkIWv_5XiuHnD1QtL,,,,,,,Judeo-Arabic; language; Texts,,,,,,,,,,,
148,JA 0372-0374,1937,1/1/37,,,"Assous, Sghaier",Arve nahal inyene shemirat ha-guf ve-gam shemirat ha-nefesh...melukatim min ha-Talmud...ve-zohar ve-Sefer hasidim...bi-leshon Arabi...uve-sofo kitsur Kuntres ha-Halel veha-simhah,,David Sa'adon Press,,Djerba,33.8787981,10.850791,,jrb,https://drive.google.com/open?id=1aVxUR_C5SyCQHBOnFV_SUGlgvtFdJ4wM,,,,,,,Jewish; way; of; life,,,,,,,,,,,
119,JA 0366,1919,1/1/19,,,,Aseret ha-devarim,,Nadgar Press and Company,,Sousse,35.8245029,10.634584,,jrb,https://drive.google.com/open?id=1icM-KQcOjqKYl0Xyh4XlH0_JJz4eGQJx,,,,,,,Judeo-Arabic; language; Texts; Ten; commandments,,,,,,,,,,,
171,JA 0029,1876,01/01/1876,,,"ben, Joseph Saadiah",Aseret ha-dibrot,,,,Livorno,43.548473,10.3105674,,jrb,https://drive.google.com/open?id=1wFjiRYapOJyEGPtpI6qJZn0CJpeTeHDb,"According to the minhag of Tunis, Algiers, and Oran",,,,,,Ten; commandments; De_calogue; Commandments ,,,,,,,,,,,
103,JA 0365,1896,01/01/1896,,,,Aseret ha-Dibrot ...ha-nohagim li-kerot be-yom netinatam,,Uzan & Kastro Press,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=14I6FImHMp34MWGCcjcddLc2bC2__dHC7,,,,,,,Judaism; Liturgy; Texts,,,,,,,,,,,
275,RE 0271-0276,1913,1/1/13,,,"Mili, Yehiel",Athmar al-afal taarib al-kitab Tapuhe zahav,,David Aydan Press,,Djerba,33.8787981,10.850791,,jrb,,,,,,,,,,,,,,,,,,,
